Customer_ID,product_name,Product_ID,Ratings
15438,Utility Lighter,8446,5
22529,Utility Lighter,8446,5
17139,Utility Lighter,8446,4
33008,Utility Lighter,8446,5
41377,Utility Lighter,8446,5
28880,Utility Lighter,8446,5
7413,Utility Lighter,8446,5
27116,Utility Lighter,8446,5
21846,Utility Lighter,8446,1
15438,"Syrup, Maple Creme",24469,5
1389,"Syrup, Maple Creme",24469,1
33237,"Syrup, Maple Creme",24469,5
17139,Vegan Alfredo Sauce Arugula Pesto,20672,1
17769,Vegan Alfredo Sauce Arugula Pesto,20672,5
993,Vegan Alfredo Sauce Arugula Pesto,20672,3
33008,Disposal Cleaner,14691,5
5168,Disposal Cleaner,14691,4
13502,Disposal Cleaner,14691,5
33625,Disposal Cleaner,14691,4
20900,Disposal Cleaner,14691,5
25757,Disposal Cleaner,14691,5
28600,Disposal Cleaner,14691,2
25826,Disposal Cleaner,14691,1
14583,Disposal Cleaner,14691,4
23029,Disposal Cleaner,14691,3
37820,Disposal Cleaner,14691,1
26612,Disposal Cleaner,14691,3
33008,Light String Cheese,852,5
227,Light String Cheese,852,5
1776,Light String Cheese,852,2
6738,Light String Cheese,852,2
41211,Light String Cheese,852,5
38408,Light String Cheese,852,4
9326,Light String Cheese,852,5
7595,Light String Cheese,852,5
6326,Light String Cheese,852,5
21491,Light String Cheese,852,5
26038,Light String Cheese,852,5
5212,Light String Cheese,852,5
10834,Light String Cheese,852,5
705,Light String Cheese,852,5
9948,Light String Cheese,852,3
18766,Light String Cheese,852,5
24215,Light String Cheese,852,4
19505,Light String Cheese,852,5
22286,Light String Cheese,852,5
15179,Light String Cheese,852,5
29336,Light String Cheese,852,5
21672,Light String Cheese,852,5
20025,Light String Cheese,852,5
7816,Light String Cheese,852,4
38011,Light String Cheese,852,4
22158,Light String Cheese,852,5
31695,Light String Cheese,852,5
4881,Light String Cheese,852,1
8828,Light String Cheese,852,5
32388,Light String Cheese,852,5
34888,Light String Cheese,852,4
17471,Light String Cheese,852,4
38587,Light String Cheese,852,5
11879,Light String Cheese,852,4
