,user_id,tsne-2d-one,tsne-2d-two
0,2,-12.269701,12.606332
1,9,-4.6735077,-16.4968
2,26,-16.675804,16.18028
3,38,-12.743118,-12.897972
4,58,8.852829,-12.718354
5,69,-18.40987,-10.284877
6,77,14.558082,-5.739819
7,117,-22.33659,-2.642894
8,118,-10.4433775,12.434939
9,140,-0.8434283,-22.68488
10,150,-17.105017,-12.8703575
11,151,19.932032,0.8267922
12,154,-16.983446,-2.6058574
13,164,-9.141062,-3.9850736
14,202,-0.6101015,-6.475356
15,206,17.807142,-1.6750222
16,210,11.325742,-14.957937
17,227,7.888875,3.929702
18,254,-13.795052,-11.810363
19,267,-16.299166,-6.62775
20,272,-17.520329,15.025323
21,280,-6.213066,-12.833228
22,284,7.700352,-14.97561
23,290,-21.45074,1.0866526
24,300,9.01477,6.4559746
25,304,-10.709045,16.631073
26,313,20.253735,5.0484705
27,323,-12.768005,14.064844
28,373,23.258308,5.9063654
29,423,-12.145522,19.449972
30,444,21.872145,8.65416
31,466,7.632162,-3.7909071
32,473,-9.234969,-7.2791486
33,476,0.50601083,2.866438
34,481,6.0775676,6.3834534
35,484,19.30308,10.428325
36,495,-8.943452,8.245293
37,496,-0.5123231,-20.677395
38,499,-9.292741,11.4963875
39,508,1.5980246,12.184895
40,516,-0.8564653,3.9770358
41,553,-12.847828,-7.76139
42,589,3.4524949,-19.926985
43,604,1.1235592,1.854836
44,612,8.4623,2.783261
45,613,21.353785,4.0881476
46,616,10.834327,-0.9034217
47,623,-13.362837,12.790638
48,626,-18.686407,11.810558
49,652,-10.082016,9.94096
50,672,11.244514,15.133617
51,681,13.839401,-1.7499322
52,687,-3.3319228,-18.232819
53,699,5.121324,4.520718
54,713,0.6821482,1.3278097
55,719,8.937136,-2.6862407
56,720,-3.1476755,-7.0516596
57,738,10.261994,11.836622
58,741,18.02481,-6.678113
59,778,-18.310223,-3.4725502
60,787,-15.743525,17.644403
61,792,-21.319653,-11.766987
62,842,-9.705634,4.124663
63,857,-12.960166,-0.7405314
64,866,-7.7514706,-17.485643
65,868,4.0134826,-7.253686
66,884,-16.920633,-14.096659
67,889,19.321142,2.3809614
68,900,-14.007761,10.6517105
69,904,-14.644093,19.008978
70,908,3.1680384,-6.446505
71,936,12.406292,16.671234
72,937,2.0249193,3.904255
73,984,-15.421842,-10.735256
74,1035,15.316141,2.7942033
75,1036,1.7705072,3.3052795
76,1037,-12.202994,-2.525218
77,1059,-5.7568674,-2.7587302
78,1064,-5.8191032,14.2333355
79,1088,8.120871,-8.003195
80,1093,6.7863164,12.16591
81,1111,19.571856,-7.787524
82,1147,4.376721,9.504018
83,1150,13.08728,11.420226
84,1194,12.9888315,5.0056143
85,1197,-4.7734656,0.045723815
86,1213,-16.039387,16.94758
87,1215,-13.451775,-1.0348374
88,1225,8.810611,0.50566125
89,1240,-14.086584,13.24392
90,1241,6.6427126,-8.464159
91,1242,8.828871,5.1602926
92,1245,21.877663,5.37525
93,1251,-13.588383,-11.901447
94,1252,-21.978882,-2.00485
95,1272,1.4992396,-8.931541
96,1288,-14.104731,-3.6600077
97,1296,12.666671,7.8413224
98,1313,19.943188,-4.9880934
99,1319,15.813327,12.7083235
100,1338,-1.0975056,-24.837065
101,1372,5.1261277,1.8875533
102,1401,-15.292116,-1.9047612
103,1424,13.563694,-2.8373034
104,1428,4.26092,1.4923273
105,1456,-14.416078,-0.7644706
106,1491,2.8366294,-4.806361
107,1527,7.9205585,3.1129344
108,1542,10.175286,23.183558
109,1549,11.444018,-15.11913
110,1553,-0.06509388,0.44697595
111,1563,0.24818482,-23.192965
112,1595,11.699383,0.3519219
113,1597,-21.793068,-0.737604
114,1626,-20.079908,7.2132764
115,1629,-18.312729,-3.2564335
116,1652,23.239023,3.657188
117,1659,19.604885,-1.5281286
118,1667,0.53583825,-12.248182
119,1702,-7.7816315,5.690515
120,1716,-16.348198,9.503879
121,1722,-9.123957,-5.3735747
122,1742,5.562793,4.8765106
123,1759,-2.3499496,10.122427
124,1766,-9.510824,11.841098
125,1776,-17.162733,11.1426735
126,1788,2.2351975,13.684081
127,1812,5.913072,4.3312674
128,1830,-23.786425,3.4513278
129,1841,16.864872,-0.80065936
130,1845,-5.954842,-2.3892806
131,1862,-11.518551,19.408945
132,1874,17.315401,5.5977526
133,1879,-15.585116,-11.430632
134,1885,22.933336,10.028672
135,1914,13.571242,-0.17143509
136,1920,5.880284,-8.84281
137,1992,-2.6618998,-10.046294
138,1997,7.751787,-8.820926
139,2014,23.895306,1.5245036
140,2079,-20.766754,-3.752474
141,2115,-21.946936,-6.409774
142,2121,7.0610404,-13.592016
143,2127,-5.5897913,0.91290957
144,2142,10.549148,22.557903
145,2143,-1.5286063,-14.191396
146,2163,17.230013,-2.2269433
147,2166,-10.384016,14.466337
148,2175,-16.068321,18.673319
149,2183,18.905928,8.755443
150,2184,6.829548,-0.59112203
151,2190,9.273271,21.795725
152,2192,-4.6866217,1.5182353
153,2211,-12.325379,4.962909
154,2225,4.2566223,1.6129777
155,2264,-15.238284,14.776618
156,2280,8.439447,-1.0636485
157,2281,-3.4441886,-1.7642465
158,2283,6.9071383,-2.077165
159,2316,-12.005582,-11.086407
160,2342,-1.2935562,-3.9471846
161,2344,12.52923,8.357522
162,2360,13.534987,-11.613305
163,2390,-4.023809,-23.34544
164,2424,13.810676,8.667263
165,2428,-2.3302054,-14.394777
166,2443,2.5247738,7.797372
167,2456,-15.037457,0.6239075
168,2462,-5.186626,-2.8850317
169,2465,-12.031732,-4.259752
170,2473,16.802734,6.653541
171,2474,-3.2678232,7.532769
172,2476,-19.043573,10.28598
173,2495,-17.212408,-13.146344
174,2496,-13.157632,-2.6952858
175,2518,-14.115255,16.242105
176,2522,12.482316,0.1674479
177,2530,6.4643545,14.702279
178,2544,-13.948743,-1.6946764
179,2566,18.552704,-6.1526074
180,2572,20.519875,-3.5910013
181,2579,13.360604,10.654105
182,2604,9.884984,12.73799
183,2648,19.035849,1.154007
184,2649,3.6884737,2.8298721
185,2655,-11.733036,-7.5245366
186,2663,1.7273904,7.0715637
187,2687,-10.023445,-1.8542511
188,2747,-19.774004,-0.8051129
189,2771,21.887453,-5.6383843
190,2777,13.267824,0.51882386
191,2785,0.57161725,-18.098475
192,2799,-1.8383733,-24.742743
193,2800,-10.94352,6.948824
194,2827,-9.318271,-2.5850759
195,2830,2.2085016,-16.917662
196,2868,13.7485075,6.7333255
197,2876,-13.88338,17.739601
198,2881,-24.910145,1.9782364
199,2926,-6.6906075,-13.982173
200,2938,9.771319,-14.593873
201,2964,-6.1703916,17.539928
202,2985,19.88842,-0.7346067
203,3007,-21.074991,-4.058238
204,3009,14.644453,6.4950047
205,3011,-1.3033562,-1.6545635
206,3016,-22.780563,-6.710843
207,3018,9.283287,23.28394
208,3030,2.3598778,13.209196
209,3032,2.2271004,-11.429697
210,3036,15.891134,6.5283146
211,3049,-20.895418,-10.995987
212,3051,-16.360004,-13.996269
213,3068,-4.0524077,-7.732473
214,3077,22.993408,-1.3505183
215,3080,15.746741,1.8519654
216,3083,-6.146483,4.9894605
217,3090,-22.593588,-6.2465734
218,3128,-4.681183,-6.6747737
219,3144,-5.8359485,17.520496
220,3199,10.619634,-14.8915415
221,3201,-24.215775,-1.0574051
222,3220,-18.84138,-5.39876
223,3226,17.627728,-0.54610693
224,3249,16.51807,-4.247492
225,3273,-8.220858,1.080024
226,3275,6.9412613,5.8117156
227,3277,-17.353777,1.2966983
228,3283,14.917571,11.4396715
229,3286,24.068298,5.1609683
230,3296,-9.809433,-9.119981
231,3305,3.9595077,5.81112
232,3316,10.232646,23.175753
233,3354,-4.7792025,-11.983352
234,3356,-14.503105,-2.8080306
235,3378,-7.6037545,-0.12589289
236,3417,-3.6628299,-17.734098
237,3430,26.22186,1.8017547
238,3509,0.3431321,2.7637832
239,3523,-22.920322,-1.2084873
240,3536,-1.4462034,-18.88755
241,3551,1.5965246,9.739548
242,3584,13.478442,6.0065384
243,3593,2.7268512,-3.550068
244,3598,-25.999146,2.5306103
245,3634,10.249936,11.276206
246,3651,-2.5864215,-21.697868
247,3652,-4.3407493,7.8882513
248,3659,-6.163629,3.532496
249,3663,-5.036942,-17.277798
250,3665,17.472143,-5.8115926
251,3676,19.027308,9.779754
252,3683,7.745397,-2.3669407
253,3689,-4.9129944,-17.396929
254,3706,4.6322794,-5.8272805
255,3720,-14.499265,15.300171
256,3721,0.9988709,-21.978348
257,3737,4.1177278,7.7187414
258,3762,-11.46706,-7.5780573
259,3787,0.659157,1.4624059
260,3794,-7.626638,1.183664
261,3798,0.2023301,1.2368714
262,3803,-10.195933,-0.875393
263,3818,4.4943705,1.9010133
264,3822,-12.157172,0.9236612
265,3830,1.2544144,-5.7533484
266,3880,-14.929147,15.941292
267,3895,-10.733062,14.331988
268,3900,-10.5663,1.3822774
269,4000,-12.325035,19.560772
270,4004,-20.126207,-9.12227
271,4056,5.563059,-4.184032
272,4090,7.2182865,1.6573328
273,4098,12.233507,8.458078
274,4115,10.420296,11.038389
275,4130,-12.601345,3.7274704
276,4151,0.28362253,7.019036
277,4152,7.5136676,-17.273941
278,4166,7.8033986,9.532561
279,4189,7.6422367,-5.680865
280,4194,-9.172168,-3.4842303
281,4215,15.013531,8.79069
282,4234,9.98809,-14.706185
283,4251,-11.178419,-6.2432547
284,4258,2.7238312,10.13426
285,4262,-18.6961,-14.664682
286,4272,-19.301567,0.17848375
287,4294,6.593011,-3.2674413
288,4336,1.3165284,-0.7600188
289,4347,-19.126144,-10.267707
290,4368,-13.352223,15.702338
291,4382,-7.1929655,-5.7294617
292,4383,-11.02103,-8.824983
